id	texto
Doc1	A inteligência artificial tem transformado diversas áreas da
Doc2	Pesquisadores brasileiros desenvolveram uma vacina experimen
Doc3	O Brasil registrou recorde de geração de energia solar em 20
Doc4	A startup paulista NeuroTech lançou um dispositivo capaz de 
Doc5	Cientistas da Universidade de São Paulo identificaram uma no
Doc6	O governo federal anunciou investimento de R$ 3 bilhões em i
Doc7	Robôs autônomos já são utilizados em operações de resgate em
Doc8	A computação quântica avançou significativamente com o novo 
Doc9	Estudo publicado na revista Nature aponta que o desmatamento
Doc10	O Instituto Nacional de Pesquisas Espaciais lançou com suces
Doc11	Pesquisas indicam que o uso de chatbots no atendimento ao cl
Doc12	A Fiocruz concluiu testes de um kit diagnóstico rápido para 
Doc13	Pesquisadores da UNICAMP criaram um material biodegradável c
Doc14	O Ministério da Saúde incorporou ao SUS um novo medicamento 
Doc15	Veículos elétricos tiveram crescimento de 78% nas vendas no 
Doc16	A Embrapa desenvolveu uma variedade de soja resistente à sec
Doc17	Neurologistas brasileiros publicaram estudo sobre o uso de e
Doc18	Uma plataforma digital desenvolvida por pesquisadores da UFR
Doc19	O telescópio espacial James Webb capturou as imagens mais de
Doc20	Aplicativos de saúde mental cresceram 120% em downloads no B
Doc21	A CAPES anunciou abertura de 5.000 novas bolsas de pesquisa 
Doc22	Cientistas identificaram microplásticos em amostras de sangu
Doc23	O Brasil assumiu a presidência do G20 com agenda focada em t
Doc24	Pesquisadores da Universidade Federal de Minas Gerais mapear
Doc25	O uso de drones na agricultura de precisão aumentou a produt
Doc26	Estudo coordenado pelo Instituto Butantan revelou mecanismo 
Doc27	A Agência Espacial Brasileira firmou parceria com a ESA para
Doc28	Pesquisadores da USP desenvolveram um algoritmo capaz de det
Doc29	A produção de hidrogênio verde no Brasil deve movimentar R$ 
Doc30	Cientistas brasileiros e canadenses desenvolveram uma prótes
